weeks,3,5,10,50,90,95,97
15,0.21,0.22,0.24,0.33,0.47,0.51,0.54
16,0.23,0.24,0.26,0.37,0.51,0.56,0.59
17,0.25,0.27,0.29,0.4,0.56,0.61,0.65
18,0.28,0.3,0.32,0.44,0.61,0.66,0.7
19,0.31,0.33,0.36,0.49,0.66,0.72,0.77
20,0.35,0.36,0.4,0.54,0.73,0.79,0.83
21,0.38,0.4,0.44,0.59,0.79,0.86,0.91
22,0.42,0.45,0.49,0.65,0.87,0.94,0.99
23,0.47,0.5,0.54,0.71,0.95,1.02,1.08
24,0.47,0.49,0.53,0.68,0.87,0.93,0.97
25,0.54,0.56,0.6,0.77,0.99,1.06,1.11
26,0.61,0.64,0.69,0.88,1.13,1.21,1.26
27,0.69,0.73,0.78,1.0,1.28,1.37,1.44
28,0.69,0.73,0.78,1.0,1.28,1.37,1.44
29,0.89,0.93,1.0,1.28,1.64,1.76,1.84
30,1.0,1.05,1.13,1.45,1.85,1.99,2.08
31,1.13,1.19,1.27,1.63,2.09,2.24,2.34
32,1.27,1.33,1.43,1.83,2.35,2.52,2.63
33,1.3,1.4,1.55,2.07,2.64,2.81,2.93
34,1.56,1.66,1.82,2.33,2.89,3.07,3.19
35,1.8,1.9,2.05,2.56,3.13,3.3,3.42
36,2.02,2.12,2.27,2.78,3.34,3.51,3.63
37,2.21,2.32,2.46,2.97,3.53,3.7,3.82
38,2.39,2.49,2.64,3.15,3.7,3.87,3.99
39,2.55,2.65,2.8,3.3,3.86,4.03,4.15
40,2.69,2.79,2.94,3.44,3.99,4.16,4.28
41,2.81,2.91,3.06,3.56,4.11,4.28,4.4
42,2.92,3.02,3.17,3.67,4.21,4.39,4.5
