GA _w;Mean_BodyWeight;SD_BodyWeight;Gender;Method;Study
24;691.5;64.6;Overall;Ultrasound;Adeyekun
25;805.3;46;Overall;Ultrasound;Adeyekun
26;963.5;68.9;Overall;Ultrasound;Adeyekun
27;1063.7;66.8;Overall;Ultrasound;Adeyekun
28;1235.2;69.2;Overall;Ultrasound;Adeyekun
29;1375.9;79.3;Overall;Ultrasound;Adeyekun
30;1539.3;211.9;Overall;Ultrasound;Adeyekun
31;1617;137;Overall;Ultrasound;Adeyekun
32;1766.6;206.7;Overall;Ultrasound;Adeyekun
33;2148.1;202.7;Overall;Ultrasound;Adeyekun
34;2348.1;106.1;Overall;Ultrasound;Adeyekun
35;2292.4;764.9;Overall;Ultrasound;Adeyekun
36;2710;275.2;Overall;Ultrasound;Adeyekun
37;2884.8;251.6;Overall;Ultrasound;Adeyekun
38;3148.4;505.4;Overall;Ultrasound;Adeyekun
39;3187.4;305.4;Overall;Ultrasound;Adeyekun
40;3304.8;284.6;Overall;Ultrasound;Adeyekun
24;628;54;Overall;Ultrasound;Sotiriadis
25;746;64.5;Overall;Ultrasound;Sotiriadis
26;878;76;Overall;Ultrasound;Sotiriadis
27;1024;88.5;Overall;Ultrasound;Sotiriadis
28;1183;102.5;Overall;Ultrasound;Sotiriadis
29;1354;117.5;Overall;Ultrasound;Sotiriadis
30;1535;133;Overall;Ultrasound;Sotiriadis
31;1724;149;Overall;Ultrasound;Sotiriadis
32;1919;166;Overall;Ultrasound;Sotiriadis
33;2117;183.5;Overall;Ultrasound;Sotiriadis
34;2313;200.5;Overall;Ultrasound;Sotiriadis
35;2503;217;Overall;Ultrasound;Sotiriadis
36;2685;233;Overall;Ultrasound;Sotiriadis
37;2853;247.5;Overall;Ultrasound;Sotiriadis
38;3003;260.5;Overall;Ultrasound;Sotiriadis
39;3132;271.5;Overall;Ultrasound;Sotiriadis
40;3236;280.5;Overall;Ultrasound;Sotiriadis
24;677;71;male;Ultrasound;Salomon
25;771;84;male;Ultrasound;Salomon
26;882;99;male;Ultrasound;Salomon
27;1015;116;male;Ultrasound;Salomon
28;1171;135;male;Ultrasound;Salomon
29;1349;155;male;Ultrasound;Salomon
30;1546;178;male;Ultrasound;Salomon
31;1756;202;male;Ultrasound;Salomon
32;1972;228;male;Ultrasound;Salomon
33;2183;256;male;Ultrasound;Salomon
34;2377;286;male;Ultrasound;Salomon
35;2539;318;male;Ultrasound;Salomon
36;2652;352;male;Ultrasound;Salomon
37;NA;NA;male;Ultrasound;Salomon
38;NA;NA;male;Ultrasound;Salomon
39;NA;NA;male;Ultrasound;Salomon
40;NA;NA;male;Ultrasound;Salomon
24;642;101;female;Ultrasound;Salomon
25;750;118;female;Ultrasound;Salomon
26;876;134;female;Ultrasound;Salomon
27;1021;149;female;Ultrasound;Salomon
28;1184;163;female;Ultrasound;Salomon
29;1362;177;female;Ultrasound;Salomon
30;1552;189;female;Ultrasound;Salomon
31;1748;201;female;Ultrasound;Salomon
32;1944;212;female;Ultrasound;Salomon
33;2131;222;female;Ultrasound;Salomon
34;2301;231;female;Ultrasound;Salomon
35;2442;239;female;Ultrasound;Salomon
36;2542;246;female;Ultrasound;Salomon
37;NA;NA;female;Ultrasound;Salomon
38;NA;NA;female;Ultrasound;Salomon
39;NA;NA;female;Ultrasound;Salomon
40;NA;NA;female;Ultrasound;Salomon
24;649;53.5;female;Ultrasound;Kiserud
25;758;62;female;Ultrasound;Kiserud
26;880;72.5;female;Ultrasound;Kiserud
27;1014;84;female;Ultrasound;Kiserud
28;1160;96.5;female;Ultrasound;Kiserud
29;1319;111.5;female;Ultrasound;Kiserud
30;1489;127.5;female;Ultrasound;Kiserud
31;1670;145.5;female;Ultrasound;Kiserud
32;1861;165.5;female;Ultrasound;Kiserud
33;2060;186.5;female;Ultrasound;Kiserud
34;2268;210.5;female;Ultrasound;Kiserud
35;2481;236.5;female;Ultrasound;Kiserud
36;2698;264.5;female;Ultrasound;Kiserud
37;2917;294;female;Ultrasound;Kiserud
38;3136;326;female;Ultrasound;Kiserud
39;3354;360.5;female;Ultrasound;Kiserud
40;3567;396;female;Ultrasound;Kiserud
24;681;55.5;male;Ultrasound;Kiserud
25;795;64.5;male;Ultrasound;Kiserud
26;923;75.5;male;Ultrasound;Kiserud
27;1063;87.5;male;Ultrasound;Kiserud
28;1215;100.5;male;Ultrasound;Kiserud
29;1379;115;male;Ultrasound;Kiserud
30;1555;131;male;Ultrasound;Kiserud
31;1741;148;male;Ultrasound;Kiserud
32;1937;166;male;Ultrasound;Kiserud
33;2140;185;male;Ultrasound;Kiserud
34;2350;204.5;male;Ultrasound;Kiserud
35;2565;225.5;male;Ultrasound;Kiserud
36;2783;246.5;male;Ultrasound;Kiserud
37;3001;267.5;male;Ultrasound;Kiserud
38;3218;288.5;male;Ultrasound;Kiserud
39;3432;309.5;male;Ultrasound;Kiserud
40;3639;329;male;Ultrasound;Kiserud
24;627.4923077;64.8056865;male;Pathanatomy;Source
25;704.2512077;75.74077332;male;Pathanatomy;Source
26;791.4705882;84.97755182;male;Pathanatomy;Source
27;874.769697;106.4708608;male;Pathanatomy;Source
28;942.8815789;142.6013527;male;Pathanatomy;Source
29;1091.169811;205.9696333;male;Pathanatomy;Source
30;1256.695652;227.3845367;male;Pathanatomy;Source
31;1415.55;311.4309365;male;Pathanatomy;Source
32;1533.730769;307.2710279;male;Pathanatomy;Source
33;1775.555556;269.3873867;male;Pathanatomy;Source
34;1919.324324;320.5877462;male;Pathanatomy;Source
35;2291.84375;384.2981965;male;Pathanatomy;Source
36;2360.806452;346.5402737;male;Pathanatomy;Source
37;2633.939394;291.675541;male;Pathanatomy;Source
38;3110.654867;395.4345433;male;Pathanatomy;Source
39;3437.195652;426.6038706;male;Pathanatomy;Source
40;3744.273973;448.6414449;male;Pathanatomy;Source
24;620.9157303;72.70145345;female;Pathanatomy;Source
25;694.3619632;73.0096241;female;Pathanatomy;Source
26;780.1313869;102.4179598;female;Pathanatomy;Source
27;845.1649485;113.7052733;female;Pathanatomy;Source
28;922.031746;144.6817384;female;Pathanatomy;Source
29;1064.432432;223.5349265;female;Pathanatomy;Source
30;1238.348837;204.6236829;female;Pathanatomy;Source
31;1398.541667;233.9366282;female;Pathanatomy;Source
32;1607.142857;267.3352425;female;Pathanatomy;Source
33;1766.266667;270.112005;female;Pathanatomy;Source
34;2025.72;306.2672471;female;Pathanatomy;Source
35;2170.842105;375.9895482;female;Pathanatomy;Source
36;2373.774194;298.0019809;female;Pathanatomy;Source
37;2530.488372;364.2278442;female;Pathanatomy;Source
38;3021.164948;352.1468586;female;Pathanatomy;Source
39;3390.98913;394.2983055;female;Pathanatomy;Source
40;3622.5;375.0401688;female;Pathanatomy;Source
