weeks,3,5,10,50,90,95,97
24,27.87,28.47,29.43,32.76,36.09,37.04,37.64
25,29.14,29.76,30.7,34.03,37.36,38.3,38.93
26,30.41,31.03,31.96,35.3,38.63,39.57,40.19
27,31.67,32.29,33.24,36.57,39.9,40.84,41.46
28,32.94,33.56,34.51,37.84,41.17,42.13,42.73
29,34.23,34.84,35.77,39.11,42.44,43.37,44
30,35.49,36.1,37.04,40.37,43.71,44.66,45.26
31,36.76,37.37,38.33,41.64,44.97,45.93,46.54
32,38.03,38.64,39.59,42.93,46.26,47.2,47.81
33,40.3,40.84,41.66,44.33,47.03,47.83,48.4
34,41.59,42.11,42.9,45.43,48,48.8,49.33
35,42.76,43.26,44,46.43,48.9,49.66,50.17
36,43.8,44.29,45,47.36,49.7,50.44,50.9
37,44.73,45.21,45.9,48.17,50.44,51.16,51.6
38,45.57,46.04,46.7,48.9,51.1,51.8,52.26
39,46.36,46.8,47.4,49.59,51.73,52.37,52.84
40,47.04,47.5,48.1,50.17,52.26,52.91,53.34
41,47.69,48.1,48.73,50.74,52.77,53.4,53.81
42,48.26,48.66,49.26,51.23,53.21,53.84,54.26
